insurance1,gender,age,fat_nd,sugar_nd,carbohydrate_nd,fat_d,sugar_d,carbohydrate_d,fat_diff,sugar_diff,carbohydrate_diff
0,1,3,98.09151260504198,132.8863445378152,306.0078571428572,89.29571428571428,141.1714285714286,291.95,8.7957983,8.2850838,14.057858
0,1,4,94.08877358490571,143.8967924528302,310.7304716981131,70.90466666666666,102.8886666666667,243.7366666666667,23.184107,41.008125,66.993805
0,1,5,82.40516129032258,93.61999999999998,264.9106451612904,79.20272727272729,94.95909090909093,261.19,3.2024341,1.3390909,3.7206452
0,2,3,71.6777486910995,107.0372774869109,239.8929842931938,86.77200000000001,124.906,261.845,15.094252,17.868723,21.952015
0,2,4,74.90619469026545,108.4497345132743,242.5985840707965,57.545,76.2945,213.4315,17.361195,32.155235,29.167084
0,2,5,53.31030303030303,76.75848484848484,187.0415151515151,64.93300000000001,86.20399999999999,205.478,11.622697,9.4455147,18.436485
1,1,1,68.52862416107395,105.6836689038032,232.1187807606262,53.05666666666667,69.37666666666668,168.6,15.471957,36.307003,63.51878
1,1,2,90.38301587301585,126.5902645502646,289.7526455026454,212.0700000000001,208.88,427.26,121.68698,82.289734,137.50735
1,1,3,101.475174216028,122.2389547038329,299.4362369337978,99.96153846153847,105.3561538461539,272.6892307692308,1.5136358,16.882801,26.747005
1,1,4,94.61244755244758,117.3247552447554,283.9727738927738,97.94000000000001,87.81465346534652,238.1780198019801,3.3275526,29.510101,45.794754
1,1,5,83.36696230598663,111.8908869179602,253.0350110864744,82.3013425925926,89.94597222222212,233.1031018518519,1.0656197,21.944914,19.93191
1,2,1,64.55071025930106,98.83347237880504,213.8189853438555,106.0466666666667,73.31333333333333,209.96,41.495956,25.52014,3.8589854
1,2,2,71.29389189189185,100.2987297297296,228.4074324324326,133.295,216.935,443.9449999999999,62.001106,116.63627,215.53757
1,2,3,76.31163388804843,97.98691376701973,228.0504236006053,75.99964285714285,100.7185714285714,238.8882142857143,.31199104,2.7316577,10.83779
1,2,4,73.82215759849905,95.27455909943714,215.9820450281427,75.19973684210527,83.54447368421054,207.5798684210527,1.3775792,11.730085,8.4021769
1,2,5,66.21492957746477,89.36382293762571,204.452032193159,64.25854430379748,77.97854430379748,193.9850632911393,1.9563853,11.385279,10.466969
